thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Kennis & Vaardigheden;PIAAC-scores probleemoplossend vermogen;2012;2023;2;286,00000000000000;265,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-21,0000000000000000;-0,07342657342657342;FALSE
Kennis & Vaardigheden;PIAAC-scores rekenvaardigheid;2012;2023;2;288,00000000000000;284,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-4,0000000000000000;-0,01388888888888889;FALSE
Kennis & Vaardigheden;PIAAC-scores taalvaardigheid;2012;2023;2;284,00000000000000;279,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet educatie en beroepsonderwijs; Wet op hoger onderwijs en wetenschappelijk onderzoek";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-5,0000000000000000;-0,01760563380281690;FALSE
Kennis & Vaardigheden;PISA-scores lezen;2018;2022;2;485,00000000000000;459,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2020";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-26,0000000000000000;-0,05360824742268041;FALSE
Kennis & Vaardigheden;PISA-scores science;2018;2022;2;503,00000000000000;488,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2021";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-15,0000000000000000;-0,02982107355864811;FALSE
Kennis & Vaardigheden;PISA-scores wiskunde;2018;2022;2;519,00000000000000;493,00000000000000;NA;OECD;Rekenkamer;een hogere score is beter;"Wet op primair onderwijs; Wet op voorgezet onderwijs 2020";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-26,0000000000000000;-0,05009633911368015;FALSE
Klimaat en Milieu;Aandeel Natura 2000 dat voldoende onder de Kritische DepositieWaarde (KDW) zit;2020;2025;6;28,60000000000000;29,90000000000000;NA;RIVM/PBL/CLO;Rekenkamer;"Doel 2030: 50%; 2035: 74%";Wet stikstofreductie en natuurverbetering;Wet of verdrag;NA;50,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;2,08571428571421e-01;0,12132043255545653;31,314285714285518;0,06074766355140174;2,01000000000000e+01;1,86857142857145e+01;Te traag;Goede kant op;1,2999999999999972;0,04545454545454535;TRUE
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (industrie);2020;2024;5;1,57338668037274;1,04682024715856;industrie;RIVM;Rekenkamer;2035: 0,7;Wet stikstofreductie en natuurverbetering;Wet of verdrag;2035: 50% NH3 t.o.v. 2019;0,7;2035;FALSE;NA;NA;NA;NA;NA;lager;-1,41554118165960e-01;0,97286294157842201;-0,540034255541173;0,60290183609103254;-3,46820247158562e-01;1,24003425554117e+00;Op koers;Goede kant op;-0,5265664332141744;-0,33467070732379056;TRUE
Klimaat en Milieu;Ammoniak-uitstoot (NH3) (landbouw);2020;2024;5;107,42000000000000;94,91391867069437;landbouw;RIVM;Rekenkamer;2035: 62,6 (42%);Wet stikstofreductie en natuurverbetering;Wet of verdrag;2035: 42%-46% NH3 t.o.v. 2019;62,6;2035;FALSE;NA;NA;NA;NA;NA;lager;-3,13513174081334e+00;0,95994734677964866;61,437001510673326;0,27902903456728312;-3,23139186706944e+01;1,16299848932668e+00;Op koers;Goede kant op;-12,5060813293056299;-0,11642228010897067;TRUE
Klimaat en Milieu;Broeikasgasemissies (CO2-eq. Mton);2020;2025;6;167,80000000000001;145,59999999999999;CO2-eq. Mton;CBS;Rekenkamer;2040: -90% t.o.v. 1990 = 22,7;Akkoord van Parijs en EU en Nationale Klimaatwet;Wet of verdrag;90% in 2040 t.o.v. 1990;22,7;2040;FALSE;NA;NA;NA;NA;NA;lager;-5,71428571428650e+00;0,82319432325196928;55,099999999989450;0,15299793246037224;-1,22900000000000e+02;-3,23999999999894e+01;Te traag;Goede kant op;-22,2000000000000171;-0,13230035756853406;TRUE
