indicator;jaar;thema;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label;waarde_rk;waarde;herkomst
Ophelderingspercentage misdrijven;2021;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;27,57255936675461;27,57255936675461;Rekenkamer
Ophelderingspercentage misdrijven;2022;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;28,36004932182491;28,36004932182491;Rekenkamer
Ophelderingspercentage misdrijven;2023;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;27,90697674418605;27,90697674418605;Rekenkamer
Ophelderingspercentage misdrijven;2024;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;25,49019607843137;25,49019607843137;Rekenkamer
Ophelderingspercentage misdrijven;2025;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;22,05000000000000;22,05000000000000;Rekenkamer
Slachtoffers traditionele criminaliteit (% bevolking);2021;Binnenlandse Veiligheid;% bevolking;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;17,10000000000000;17,10000000000000;Rekenkamer
Slachtoffers traditionele criminaliteit (% bevolking);2023;Binnenlandse Veiligheid;% bevolking;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;19,90000000000000;19,90000000000000;Rekenkamer
Slachtoffers traditionele criminaliteit (% bevolking);2025;Binnenlandse Veiligheid;% bevolking;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;20,00000000000000;20,00000000000000;Rekenkamer
Slachtoffers van moord en doodslag per 100.000 inwoners;2020;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;0,69000000000000;0,69000000000000;Rekenkamer
Slachtoffers van moord en doodslag per 100.000 inwoners;2021;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;0,72000000000000;0,72000000000000;Rekenkamer
Slachtoffers van moord en doodslag per 100.000 inwoners;2022;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;0,81000000000000;0,81000000000000;Rekenkamer
Slachtoffers van moord en doodslag per 100.000 inwoners;2023;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;0,70000000000000;0,70000000000000;Rekenkamer
Slachtoffers van moord en doodslag per 100.000 inwoners;2024;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Breed gehanteerde indicator;NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA;0,68000000000000;0,68000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2020;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;1,41000000000000;1,41000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2021;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;1,36000000000000;1,36000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2022;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;1,38000000000000;1,38000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2023;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;1,50000000000000;1,50000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2024;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;1,79000000000000;1,79000000000000;Rekenkamer
Defensie uitgaven (NAVO-norm);2025;Defensie en Ontwikkelingssamenwerking;NAVO-norm;Defensie;2035: 3,5% BBP;NATO guideline 2014 (2%) en Defence Investment Plan 2025 (3,5% + 1,5%);Wettelijke verankering NAVO-norm van 3,5% BBP;NA;3,5;2035;NA;hoger;Overig;TRUE;NA;NA;2,22000000000000;2,22000000000000;Rekenkamer
Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);2022;Defensie en Ontwikkelingssamenwerking;NA;Defensie;> 20%;NATO Defence Investment Pledge (2014) en Defence Planning Capability Review;NA;NA;20,0;NA;NA;hoger;Overig;FALSE;NA;NA;24,90000000000000;24,90000000000000;Rekenkamer
Investeringsquote defensie uitgaven (% defensie-uitgaven voor investeringen);2023;Defensie en Ontwikkelingssamenwerking;NA;Defensie;> 20%;NATO Defence Investment Pledge (2014) en Defence Planning Capability Review;NA;NA;20,0;NA;NA;hoger;Overig;FALSE;NA;NA;23,90000000000000;23,90000000000000;Rekenkamer
